Razón social;Nombre de establecimiento;ID establecimiento (VU);CIIU4;Rubro RETC;Ducto;Tipo de Contaminante;Emisión (toneladas);Año;Norma;Región;Provincia;Comuna;Huso;Coordenada norte;Coordenada este
SERVICIOS ACUICOLAS Y DE REDES LA PALOMA LTDA;LA PALOMA;5463462;FABRICACIÓN DE CUERDAS, CORDELES, BRAMANTES Y REDES;Industria manufacturera;718;Mercurio;7,04E-07;2017;DS46/2002 del MINSEGPRES;Aysén del Gral. Carlos Ibáñez del Campo;Aisén;Aysén;18.0;4968875.0;686159.0
SERVICIOS ACUICOLAS Y DE REDES LA PALOMA LTDA;LA PALOMA;5463462;FABRICACIÓN DE CUERDAS, CORDELES, BRAMANTES Y REDES;Industria manufacturera;718;Cadmio;7,04E-07;2017;DS46/2002 del MINSEGPRES;Aysén del Gral. Carlos Ibáñez del Campo;Aisén;Aysén;18.0;4968875.0;686159.0
LACTEOS OSORNO LIMITADA;LACTEOS OSORNO LTDA;5462748;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;860;Molibdeno;7,04E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5511028.0;656675.0
EXPORTADORA SUBSOLE SA;PLANTA SUBSOLE HIJUELAS;5470035;ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS;Otras actividades;905;Selenio;7,04E-07;2017;DS90/2000 del MINSEGPRES;Valparaíso;Quillota;Hijuelas;19.0;6365024.0;301477.0
LACTEOS OSORNO LIMITADA;LACTEOS OSORNO LTDA;5462748;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;860;Cobre;7,04E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5511028.0;656675.0
LACTEOS OSORNO LIMITADA;LACTEOS OSORNO LTDA;5462748;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;860;Tetracloroeteno;7,04E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5511028.0;656675.0
LACTEOS OSORNO LIMITADA;LACTEOS OSORNO LTDA;5462748;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;860;Selenio;7,04E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5511028.0;656675.0
LACTEOS OSORNO LIMITADA;LACTEOS OSORNO LTDA;5462748;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;860;Níquel;7,04E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5511028.0;656675.0
SALMONES ANTARTICA S A;PISCICULTURA COREO;4585854;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;440;Aluminio;7,04E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Biobío;Los Angeles;18.0;5840597.0;746921.0
VITAL AGUAS S.A.;VITAL AGUAS;386218;"ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS;";Otras actividades;447;Triclorometano;7,01E-07;2017;DS90/2000 del MINSEGPRES;Libertador Gral. Bernardo O'Higgins;Cachapoal;Rengo;19.0;6190058.0;336638.0
